City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
381,Buraydah,SA,75.65,clear sky,26.326,43.975,
383,Nortelandia,BR,80.1,broken clouds,-14.4547,-56.8028,
386,Salalah,OM,82.49,clear sky,17.0151,54.0924,
387,Takoradi,GH,79.86,overcast clouds,4.8845,-1.7554,
389,Touros,BR,77.05,scattered clouds,-5.1989,-35.4608,
391,Kodar,IN,86.41,overcast clouds,16.9833,79.9667,
392,Eyl,SO,82.92,light rain,7.9803,49.8164,
393,Kutum,SD,77.41,clear sky,14.2,24.6667,
398,Rampura,IN,85.23,clear sky,30.25,75.2333,
401,Giddarbaha,IN,86.61,clear sky,30.2,74.6667,
402,Pemba,MZ,75.9,few clouds,-12.974,40.5178,
404,Lockport,US,81.16,clear sky,41.5895,-88.0578,
409,Sinnamary,GF,77.29,few clouds,5.3833,-52.95,
412,Ladario,BR,81.36,scattered clouds,-19.0047,-57.6017,
419,Umm Kaddadah,SD,82.81,broken clouds,13.6017,26.6876,
422,Saint Anthony,US,87.69,broken clouds,45.0205,-93.218,
424,Hamilton,US,76.95,clear sky,39.1834,-84.5333,
430,Micheweni,TZ,78.69,light rain,-4.9667,39.8333,
431,Karaton,ID,78.13,overcast clouds,-6.3424,106.1045,
432,Bubaque,GW,77.45,light rain,11.2833,-15.8333,
433,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,
434,Itarema,BR,75.76,overcast clouds,-2.9248,-39.9167,
440,Kakrala,IN,84.85,clear sky,27.9,79.2,
447,Khairpur Nathan Shah,PK,87.85,few clouds,27.0936,67.7337,
448,Khulna,BD,77.99,overcast clouds,22.8135,89.5672,
454,Lethem,GY,80.49,overcast clouds,3.3803,-59.7968,
457,Khuzdar,PK,79.18,clear sky,27.7384,66.6434,
458,Oussouye,SN,77.18,light rain,12.485,-16.5469,
460,Moussoro,TD,89.56,clear sky,13.6408,16.4901,
461,Iracoubo,GF,77.0,few clouds,5.4802,-53.2011,
464,Utinga,BR,77.4,scattered clouds,-5.8172,-35.3954,
470,Urbana,US,80.69,few clouds,40.1106,-88.2073,
472,San Andres,CO,84.22,few clouds,12.5847,-81.7006,
479,Sokoni,TZ,81.18,clear sky,-6.4333,39.55,
481,Collierville,US,83.73,clear sky,35.042,-89.6645,
483,Cartagena,CO,85.62,scattered clouds,10.3997,-75.5144,
484,Mecca,SA,84.56,clear sky,21.4267,39.8261,
485,Spanish Town,JM,82.02,broken clouds,17.9911,-76.9574,
486,San Miguel,SV,81.5,overcast clouds,13.4833,-88.1833,
491,Matara,LK,81.0,overcast clouds,5.9485,80.5353,
497,Coro,VE,80.67,overcast clouds,11.4045,-69.6734,
500,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,
507,Hambantota,LK,81.45,overcast clouds,6.1241,81.1185,
511,Kulhudhuffushi,MV,85.28,overcast clouds,6.6221,73.07,
512,Bougouni,ML,87.55,overcast clouds,11.417,-7.479,
513,Gao,ML,85.53,clear sky,16.6362,1.637,
515,Black River,JM,79.9,scattered clouds,18.0264,-77.8487,
523,Biltine,TD,85.24,clear sky,14.5333,20.9167,
524,Bouna,CI,75.45,overcast clouds,9.2667,-3.0,
526,Ciudad Bolivar,VE,88.48,broken clouds,8.1222,-63.5497,
534,Bud,US,80.55,broken clouds,39.447,-86.1758,
542,Bambey,SN,75.25,few clouds,14.6955,-16.4493,
544,Puerto El Triunfo,SV,83.03,overcast clouds,13.2833,-88.55,
551,Una,IN,80.53,overcast clouds,20.8167,71.0333,
561,Santa Maria Da Boa Vista,BR,77.83,overcast clouds,-8.8078,-39.8256,
564,Villa Del Rosario,CO,82.78,broken clouds,7.8339,-72.4742,
567,Kangaba,ML,87.85,few clouds,11.9333,-8.4167,
572,Bhimunipatnam,IN,83.71,overcast clouds,17.8833,83.4333,
578,Santa Rosa,PH,88.09,scattered clouds,14.3122,121.1114,
581,Guanica,PR,81.5,few clouds,17.9716,-66.908,
582,Robertson,US,79.25,clear sky,36.5167,-86.8667,
583,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,
584,Kidal,ML,83.66,clear sky,18.4411,1.4078,
585,Sanchor,IN,77.72,clear sky,24.7553,71.7722,
587,Lubao,PH,85.71,clear sky,14.9167,120.55,
589,Omboue,GA,79.0,light rain,-1.5746,9.2618,
590,Jhalawar,IN,89.56,scattered clouds,24.6,76.15,
593,Edd,ER,84.0,clear sky,13.9297,41.6925,
595,San Cayetano,CO,85.08,broken clouds,7.8771,-72.6243,
599,Elat,IL,75.04,clear sky,29.5581,34.9482,
604,Chakia,IN,80.26,few clouds,26.4167,85.05,
608,Sao Jose Da Coroa Grande,BR,77.05,overcast clouds,-8.8978,-35.1478,
611,Birao,CF,84.94,overcast clouds,10.2849,22.7882,
612,Dullewala,PK,89.29,broken clouds,31.8359,71.4362,
614,Banda Aceh,ID,81.21,overcast clouds,5.5577,95.3222,
616,Libreville,GA,82.42,scattered clouds,0.3925,9.4537,
621,Acarau,BR,76.32,overcast clouds,-2.8856,-40.12,
630,Dhangadhi,NP,81.46,clear sky,28.7079,80.5961,
637,Kalmunai,LK,81.16,overcast clouds,7.4167,81.8167,
646,Sao Miguel Do Araguaia,BR,76.24,scattered clouds,-13.275,-50.1628,
647,Leogane,HT,84.4,clear sky,18.5108,-72.6339,
654,Los Llanitos,HN,86.45,overcast clouds,13.2869,-87.3344,
656,Brokopondo,SR,75.79,light rain,4.75,-55.1667,
661,Santa Cruz De Tenerife,ES,76.6,clear sky,28.4682,-16.2546,
662,Benguela,AO,75.54,clear sky,-12.5763,13.4055,
665,Bull Savanna,JM,76.46,few clouds,17.8868,-77.5902,
669,Jaisalmer,IN,82.45,clear sky,26.9147,70.9181,
673,Guhagar,IN,81.7,overcast clouds,17.4842,73.1929,
676,Upata,VE,81.19,broken clouds,8.0086,-62.3989,
678,Talagang,PK,82.45,clear sky,32.9297,72.4158,
680,Zamora,EC,79.84,light rain,-4.0692,-78.9567,
682,Bahia Honda,CU,78.13,scattered clouds,22.9036,-83.1592,
686,Padampur,IN,89.04,clear sky,29.6833,73.6167,
696,Minna,NG,75.63,overcast clouds,9.6139,6.5569,
701,Vandavasi,IN,85.05,heavy intensity rain,12.5,79.6167,
703,Ottappalam,IN,78.01,moderate rain,10.7667,76.3833,
709,Dahegam,IN,87.57,overcast clouds,23.1667,72.8167,
711,The Valley,AI,82.26,few clouds,18.217,-63.0578,
713,Tutoia,BR,75.7,overcast clouds,-2.7619,-42.2744,
719,Satipo,PE,75.22,broken clouds,-11.2522,-74.6386,
720,Am Timan,TD,89.1,overcast clouds,11.0297,20.2827,
721,Parrita,CR,80.42,overcast clouds,9.5201,-84.3225,
729,Winnetka,US,81.12,scattered clouds,42.1081,-87.7359,
730,Dhar,IN,85.17,overcast clouds,22.6,75.3,
732,Monrovia,LR,79.36,broken clouds,6.3005,-10.7969,
733,Doha,QA,80.49,clear sky,25.2867,51.5333,
734,Garwa,IN,81.01,clear sky,24.1833,83.8167,
739,Kedougou,SN,82.98,clear sky,12.5579,-12.1743,
