City_ID,City,Country,Max Temp,Description,Lat,Lng,Humidity,Cloudiness,Wind Speed
282,Guanare,VE,80.62,broken clouds,9.0418,-69.7421,94,81,3.44
283,Gazojak,TM,62.22,scattered clouds,41.1875,61.4036,51,45,6.42
284,Sur,OM,86.61,clear sky,22.5667,59.5289,46,0,6.31
285,Damaturu,NG,86.79,overcast clouds,11.747,11.9608,43,98,7.72
286,Manicore,BR,74.19,overcast clouds,-5.8092,-61.3003,96,90,2.17
287,Mount Pleasant,US,71.74,clear sky,32.7941,-79.8626,62,0,1.01
288,At-Bashi,KG,58.77,broken clouds,41.1702,75.8106,45,82,1.83
289,Vazante,BR,70.09,broken clouds,-17.9869,-46.9078,63,73,4.05
290,Qarqin,AF,71.94,overcast clouds,37.4185,66.0436,59,96,21.83
291,Quimper,FR,55.98,overcast clouds,48.0,-4.1,94,100,3.44
292,Kilindoni,TZ,80.89,light rain,-7.9139,39.6668,76,31,15.59
293,Visconde Do Rio Branco,BR,62.31,scattered clouds,-21.0103,-42.8406,88,47,2.77
294,Araguaina,BR,75.31,scattered clouds,-7.1911,-48.2072,54,38,1.07
295,Dolgoye,RU,36.16,scattered clouds,52.8,37.2167,74,35,10.38
296,Tiznit,MA,77.52,broken clouds,29.5833,-9.5,15,81,1.63
297,Grindavik,IS,44.55,clear sky,63.8424,-22.4338,81,0,17.27
298,Zheshart,RU,32.49,light snow,62.0731,49.5733,97,100,8.57
299,Dessalines,HT,76.64,clear sky,19.2833,-72.5,77,4,0.96
300,Cascavel,BR,67.6,few clouds,-24.9558,-53.4553,73,20,4.61
301,Mahibadhoo,MV,84.13,overcast clouds,3.7833,72.9667,78,99,20.13
302,Minudasht,IR,56.07,few clouds,37.2289,55.3747,83,19,1.48
303,Tessalit,ML,79.59,clear sky,20.1986,1.0114,7,0,9.06
304,Rockland,US,68.85,clear sky,41.1668,-74.0496,17,0,8.46
305,Mrakovo,RU,54.21,overcast clouds,52.7161,56.6244,54,99,16.02
306,Pajan,EC,75.29,overcast clouds,-1.5667,-80.4167,87,100,3.96
307,Mao,ES,57.76,clear sky,39.8885,4.2658,94,0,6.91
308,Atasu,KZ,51.89,overcast clouds,48.6814,71.6433,40,98,17.09
309,Eldorado,BR,68.09,clear sky,-23.7869,-54.2836,86,0,3.58
310,Dwarka,IN,81.54,broken clouds,22.2394,68.9678,77,51,13.42
311,Channel-Port Aux Basques,CA,41.34,scattered clouds,47.5702,-59.1367,74,40,1.61
312,Nadym,RU,36.21,broken clouds,65.5333,72.5167,83,69,9.84
313,Utmanzai,PK,77.61,scattered clouds,34.188,71.7629,33,42,3.58
314,Inhambane,MZ,67.96,light rain,-23.865,35.3833,89,52,6.6
315,Khorramshahr,IR,71.56,clear sky,30.4397,48.1664,35,0,2.3
316,Epinal,FR,56.16,scattered clouds,48.1833,6.45,87,33,2.28
317,Kankon,IN,82.49,moderate rain,15.0167,74.0167,82,95,13.33
318,Chirongui,YT,80.53,scattered clouds,-12.9319,45.1483,73,28,14.5
319,Koson,UZ,62.92,overcast clouds,39.0375,65.585,54,98,10.18
320,Kilembe,UG,60.49,scattered clouds,0.2,30.0,78,25,4.94
321,Batticaloa,LK,82.15,overcast clouds,7.7102,81.6924,76,100,4.72
322,Umred,IN,88.09,overcast clouds,20.85,79.3333,27,100,4.54
323,Boende,CD,72.23,light rain,-0.2167,20.8667,93,96,1.77
324,Tucupita,VE,77.22,scattered clouds,9.0622,-62.051,77,38,6.35
325,Porto Walter,BR,78.94,overcast clouds,-8.2686,-72.7439,74,98,2.73
326,Boyuibe,BO,61.0,overcast clouds,-20.4167,-63.2833,95,99,7.38
327,Krasnogorskiy,RU,51.21,overcast clouds,54.6025,61.231,43,98,14.29
328,Pisco,PE,64.45,clear sky,-13.7,-76.2167,77,0,14.97
329,Nantucket,US,51.94,overcast clouds,41.2835,-70.0995,70,100,31.07
330,Syasstroy,RU,35.08,clear sky,60.1367,32.5691,84,9,5.68
331,Santa Isabel Do Rio Negro,BR,72.32,overcast clouds,-0.4139,-65.0192,97,98,1.61
332,Sarai Alamgir,PK,82.45,clear sky,32.9012,73.7559,29,2,4.99
333,Angoche,MZ,71.35,clear sky,-16.2325,39.9086,76,2,8.1
334,Wisconsin Rapids,US,81.39,broken clouds,44.3836,-89.8174,50,75,14.97
335,Carutapera,BR,74.66,light rain,-1.195,-46.02,95,100,3.69
336,Nuuk,GL,32.61,light snow,64.1835,-51.7216,86,75,31.07
337,Olafsvik,IS,39.25,overcast clouds,64.8945,-23.7142,84,100,21.25
338,Aljezur,PT,62.85,scattered clouds,37.3191,-8.8033,64,41,5.06
339,Mercedes,AR,58.03,overcast clouds,-34.6515,-59.4307,75,100,6.26
340,Methoni,GR,62.22,clear sky,36.8197,21.7049,82,7,5.17
341,Necochea,AR,50.18,few clouds,-38.5473,-58.7368,77,24,9.06
342,Arrifes,PT,61.05,broken clouds,37.7667,-25.7,82,75,3.44
343,Leshukonskoye,RU,27.93,clear sky,64.8989,45.7622,91,6,3.51
344,Nyimba,ZM,67.8,few clouds,-14.5566,30.8149,67,20,3.18
